SimpleBrokerMessageHandler, CLASS/INTERFACE, 1247, 76, 5.5 WebSocket Messaging Improvements, org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler, @null
ListenableFuture, CLASS/INTERFACE, 1255, 1, 5.5 WebSocket Messaging Improvements, org.springframework.http.client.OkHttpAsyncClientHttpRequest.OkHttpListenableFuture, @null
CompletableFuture, CLASS/INTERFACE, 1255, 51, 5.5 WebSocket Messaging Improvements, null, @null
MarshallingMessageConverter, CLASS/INTERFACE, 1258, 1, 5.5 WebSocket Messaging Improvements, org.springframework.jms.support.converter.MarshallingMessageConverter, @null
SpringJUnit4ClassRunner, CLASS/INTERFACE, 1264, 1, 5.6 Testing Improvements, org.springframework.test.context.junit4.SpringJUnit4ClassRunner, @null
Parameterized, CLASS/INTERFACE, 1265, 40, 5.6 Testing Improvements, null, @null
MockitoJUnitRunner, CLASS/INTERFACE, 1266, 1, 5.6 Testing Improvements, null, @null
AopTestUtils, CLASS/INTERFACE, 1278, 20, 5.6 Testing Improvements, org.springframework.test.util.AopTestUtils, @null
ReflectionTestUtils, CLASS/INTERFACE, 1285, 1, 5.6 Testing Improvements, org.springframework.test.util.ReflectionTestUtils, @null
ConfigFileApplicationListener, CLASS/INTERFACE, 1290, 24, 5.6 Testing Improvements, null, @null
BEFORE_METHOD, CLASS/INTERFACE, 1293, 59, 5.6 Testing Improvements, null, @null
BEFORE_CLASS, CLASS/INTERFACE, 1293, 103, 5.6 Testing Improvements, null, @null
BEFORE_EACH_TEST_METHOD, CLASS/INTERFACE, 1294, 1, 5.6 Testing Improvements, null, @null
ApplicationContext, CLASS/INTERFACE, 1294, 76, 5.6 Testing Improvements, org.springframework.test.web.servlet.setup.StubWebApplicationContext, @null
ApplicationContext, CLASS/INTERFACE, 1297, 23, 5.6 Testing Improvements, org.springframework.test.web.servlet.setup.StubWebApplicationContext, @null
statements, UNIDENTIFIED-TYPE, 1309, 1, 5.6 Testing Improvements, null, @null
ContextCache, CLASS/INTERFACE, 1311, 5, 5.6 Testing Improvements, org.springframework.test.context.cache.ContextCache, @null
ApplicationContext, CLASS/INTERFACE, 1311, 72, 5.6 Testing Improvements, org.springframework.test.web.servlet.setup.StubWebApplicationContext, @null
DefaultTestContext, CLASS/INTERFACE, 1315, 1, 5.6 Testing Improvements, org.springframework.test.context.support.DefaultTestContext, @null
DefaultBootstrapContext, CLASS/INTERFACE, 1315, 50, 5.6 Testing Improvements, org.springframework.test.context.support.DefaultBootstrapContext, @null
DefaultCacheAwareContextLoaderDelegate, CLASS/INTERFACE, 1316, 1, 5.6 Testing Improvements, org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate, @null
support, UNIDENTIFIED-TYPE, 1317, 1, 5.6 Testing Improvements, null, @null
TestContextBootstrapper, CLASS/INTERFACE, 1319, 1, 5.6 Testing Improvements, org.springframework.test.context.support.DefaultTestContextBootstrapper, @null
TestContext, CLASS/INTERFACE, 1320, 1, 5.6 Testing Improvements, org.springframework.test.context.support.DefaultTestContext, @null
