org.apache.http.conn.routing.HttpRoutePlanner, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.routing.BasicRouteDirector, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.EofSensorWatcher, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ConnectionReleaseTrigger, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.SchemePortResolver, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ConnectionPoolTimeoutException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.conn.EofSensorInputStream, @stereotype @stereotype 
org.apache.http.conn.ConnectTimeoutException, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.conn.HttpRoutedConnection, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.util.PublicSuffixMatcherLoader, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.util.PublicSuffixListParser, @stereotype FACTORY@stereotype FACTORY
org.apache.http.conn.util.InetAddressUtils, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.util.PublicSuffixList, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.conn.util.PublicSuffixMatcher, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.ClientConnectionManager, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.HttpHostConnectException, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.params.ConnRoutePNames, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.params.ConnManagerPNames, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.params.ConnConnectionPNames, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.UnsupportedSchemeException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.conn.socket.LayeredConnectionSocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.socket.ConnectionSocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.socket.PlainConnectionSocketFactory, @stereotype @stereotype 
org.apache.http.conn.ManagedHttpClientConnection, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.scheme.SocketFactoryAdaptor, @stereotype BOUNDARY DATA_PROVIDER@stereotype BOUNDARY DATA_PROVIDER
org.apache.http.conn.scheme.LayeredSocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.scheme.SchemeLayeredSocketFactoryAdaptor2, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.scheme.SchemeSocketFactoryAdaptor, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.scheme.SchemeSocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.scheme.SchemeRegistry, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.scheme.SocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.scheme.LayeredSchemeSocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.scheme.SchemeLayeredSocketFactoryAdaptor, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.scheme.LayeredSocketFactoryAdaptor, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.scheme.SchemeLayeredSocketFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.scheme.Scheme, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.ConnectionRequest, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.HttpInetSocketAddress, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.ManagedClientConnection, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ClientConnectionRequest, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ssl.StrictHostnameVerifier, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.ssl.TrustStrategy, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ssl.BrowserCompatHostnameVerifier, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.ssl.NoopHostnameVerifier, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.ssl.SSLConnectionSocketFactory, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.ssl.AbstractVerifier, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
org.apache.http.conn.ssl.AllowAllHostnameVerifier, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.conn.ssl.SSLInitializationException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.conn.ssl.X509HostnameVerifier, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ssl.DefaultHostnameVerifier, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
org.apache.http.conn.ssl.TrustSelfSignedStrategy, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.conn.HttpClientConnectionOperator, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.HttpClientConnectionManager, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.DnsResolver, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.impl.auth.BasicSchemeFactory, @stereotype FACTORY@stereotype FACTORY
org.apache.http.impl.auth.NTLMEngineException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.impl.auth.SPNegoSchemeFactory, @stereotype @stereotype 
org.apache.http.impl.auth.NTLMScheme, @stereotype @stereotype 
